ground_truth_species,predicted_species,count
Fraxinus pennsylvanica,Sassafras albidum,1
Fraxinus pennsylvanica,Quercus palustris,1
Fraxinus pennsylvanica,Gymnocladus dioicus,1
Fraxinus pennsylvanica,Fraxinus quadrangulata,1
Fraxinus pennsylvanica,Quercus alba,1
Fraxinus quadrangulata,Toxicodendron radicans,1
Fraxinus quadrangulata,Staphylea trifolia,1
Fraxinus quadrangulata,Fraxinus americana,1
Pinus strobus,Pinus resinosa,1
Pinus strobus,Staphylea trifolia,1
Pinus strobus,Picea rubens,1
Tsuga canadensis,Pinus strobus,1
Platanus occidentalis,Quercus muehlenbergii,1
Platanus occidentalis,Staphylea trifolia,1
Amelanchier arborea,Prunus pensylvanica,1
Prunus pensylvanica,Castanea dentata,1
Prunus serotina,Prunus pensylvanica,1
Prunus serotina,Amelanchier arborea,1
Pyrus calleryana,Gymnocladus dioicus,1
Pyrus calleryana,Acer saccharinum,1
Pyrus calleryana,Prunus pensylvanica,1
Pyrus calleryana,Populus deltoides,1
Pyrus calleryana,Rhus copallinum,1
Pyrus calleryana,Lindera benzoin,1
Cephalanthus occidentalis,Quercus bicolor,1
Cephalanthus occidentalis,Viburnum opulus,1
Populus deltoides,Juglans cinerea,1
Salix nigra,Carya laciniosa,1
Salix nigra,Ulmus americana,1
Ailanthus altissima,Juglans cinerea,1
Ailanthus altissima,Zanthoxylum americanum,1
Ailanthus altissima,Carya ovata,1
Staphylea trifolia,Carya cordiformis,1
Dirca palustris,Hamamelis virginiana,1
Dirca palustris,Staphylea trifolia,1
Tilia americana,Amelanchier arborea,1
Celtis occidentalis,Gymnocladus dioicus,1
Celtis occidentalis,Quercus macrocarpa,1
Ulmus americana,Robinia pseudoacacia,1
Ulmus americana,Ostrya virginiana,1
Ulmus americana,Amelanchier arborea,1
Ulmus americana,Carpinus caroliniana,1
Ulmus americana,Fraxinus pennsylvanica,1
Ulmus rubra,Quercus macrocarpa,1
Ulmus rubra,Carya laciniosa,1
