representation,comparison,relation,bin_left,bin_right,bin_center,density
bioclip,normalized_organ,different,0.051396561533212676,0.06669661699235443,0.059046589262783555,0.01160600386298864
bioclip,normalized_organ,different,0.06669661699235443,0.08199667245149614,0.07434664472192529,0.02692357241312603
bioclip,normalized_organ,different,0.08199667245149614,0.09729672791063784,0.08964670018106699,0.05531998795607296
bioclip,normalized_organ,different,0.09729672791063784,0.1125967833697796,0.10494675564020872,0.09732547401856464
bioclip,normalized_organ,different,0.1125967833697796,0.12789683882892136,0.12024681109935048,0.19364941470885105
bioclip,normalized_organ,different,0.12789683882892136,0.14319689428806306,0.1355468665584922,0.30982728078912425
bioclip,normalized_organ,different,0.14319689428806306,0.15849694974720477,0.15084692201763392,0.49251874261210854
bioclip,normalized_organ,different,0.15849694974720477,0.17379700520634653,0.16614697747677565,0.7499128079796061
bioclip,normalized_organ,different,0.17379700520634653,0.1890970606654883,0.1814470329359174,1.0826575278687425
bioclip,normalized_organ,different,0.1890970606654883,0.20439711612463,0.19674708839505914,1.5057169884785013
bioclip,normalized_organ,different,0.20439711612463,0.2196971715837717,0.21204714385420084,1.990930429166698
bioclip,normalized_organ,different,0.2196971715837717,0.23499722704291345,0.22734719931334257,2.552142575353644
bioclip,normalized_organ,different,0.23499722704291345,0.2502972825020552,0.24264725477248433,3.1138849450673387
bioclip,normalized_organ,different,0.2502972825020552,0.2655973379611969,0.25794731023162604,3.6923588127358005
bioclip,normalized_organ,different,0.2655973379611969,0.2808973934203386,0.27324736569076774,4.154124590797249
bioclip,normalized_organ,different,0.2808973934203386,0.2961974488794803,0.28854742114990944,4.503954290992309
bioclip,normalized_organ,different,0.2961974488794803,0.3114975043386221,0.3038474766090512,4.6719762352422425
bioclip,normalized_organ,different,0.3114975043386221,0.3267975597977638,0.31914753206819296,4.6723886313186265
bioclip,normalized_organ,different,0.3267975597977638,0.3420976152569055,0.33444758752733467,4.525929110489237
bioclip,normalized_organ,different,0.3420976152569055,0.35739767071604733,0.3497476429864764,4.221639719868208
bioclip,normalized_organ,different,0.35739767071604733,0.37269772617518904,0.3650476984456182,3.813073035655922
bioclip,normalized_organ,different,0.37269772617518904,0.38799778163433074,0.3803477539047599,3.3519553085715943
bioclip,normalized_organ,different,0.38799778163433074,0.40329783709347244,0.3956478093639016,2.869864295318618
bioclip,normalized_organ,different,0.40329783709347244,0.41859789255261415,0.4109478648230433,2.4501629170448544
bioclip,normalized_organ,different,0.41859789255261415,0.43389794801175596,0.42624792028218506,2.0247469074273714
bioclip,normalized_organ,different,0.43389794801175596,0.44919800347089767,0.4415479757413268,1.67250174449942
bioclip,normalized_organ,different,0.44919800347089767,0.46449805893003937,0.4568480312004685,1.3751641734511768
bioclip,normalized_organ,different,0.46449805893003937,0.4797981143891812,0.4721480866596103,1.1124678728163133
bioclip,normalized_organ,different,0.4797981143891812,0.4950981698483229,0.48744814211875204,0.8895972504118228
bioclip,normalized_organ,different,0.4950981698483229,0.5103982253074646,0.5027481975778938,0.6954765259014284
bioclip,normalized_organ,different,0.5103982253074646,0.5256982807666063,0.5180482530370354,0.5292219934072454
bioclip,normalized_organ,different,0.5256982807666063,0.540998336225748,0.5333483084961772,0.4212920488539699
bioclip,normalized_organ,different,0.540998336225748,0.5562983916848898,0.5486483639553189,0.3090024886364224
bioclip,normalized_organ,different,0.5562983916848898,0.5715984471440315,0.5639484194144606,0.23353400666440172
bioclip,normalized_organ,different,0.5715984471440315,0.5868985026031732,0.5792484748736024,0.17391331676925173
bioclip,normalized_organ,different,0.5868985026031732,0.602198558062315,0.5945485303327441,0.14050923458491274
bioclip,normalized_organ,different,0.602198558062315,0.6174986135214567,0.6098485857918858,0.10710515240057576
bioclip,normalized_organ,different,0.6174986135214567,0.6327986689805984,0.6251486412510276,0.08295052507151301
bioclip,normalized_organ,different,0.6327986689805984,0.6480987244397401,0.6404486967101692,0.06698490554425447
bioclip,normalized_organ,different,0.6480987244397401,0.6633987798988819,0.655748752169311,0.051549509543731456
bioclip,normalized_organ,different,0.6633987798988819,0.6786988353580237,0.6710488076284528,0.04389072526866247
