representation,k,seed,n_init,species_nmi,organ_nmi,species_purity,organ_purity,inertia,iterations
efficientnet_b0,10,42,1,0.13279990319425586,0.5409727766268856,0.09201706276660573,0.7836684948202316,980.7825927734375,24
efficientnet_b0,10,43,1,0.12382595493429374,0.5486153281707365,0.09323583180987204,0.7836684948202316,986.2932739257812,9
efficientnet_b0,10,44,1,0.13045870895852482,0.5259439785502323,0.09506398537477148,0.7647775746496039,987.8397827148438,24
efficientnet_b0,10,45,1,0.1297771084598139,0.5310347613933373,0.08714198659354053,0.7794028031687995,981.599853515625,18
efficientnet_b0,10,46,1,0.11220158513273147,0.538310856447109,0.08957952468007313,0.7769652650822669,990.3189697265625,19
efficientnet_b0,10,47,1,0.13307169756078557,0.5346024308134929,0.09079829372333943,0.7757464960390006,979.8494262695312,27
efficientnet_b0,10,48,1,0.12194622914879448,0.5272688617778942,0.09262644728823888,0.7745277269957344,979.6827392578125,16
efficientnet_b0,10,49,1,0.13916445003720795,0.5344708300192348,0.09628275441803778,0.7562461913467398,980.5303955078125,16
efficientnet_b0,10,50,1,0.1275861183776762,0.527510944028862,0.09567336989640463,0.765386959171237,977.571044921875,13
efficientnet_b0,10,51,1,0.13205123469709273,0.5393476666069882,0.09201706276660573,0.7824497257769653,979.821533203125,26
efficientnet_b0,20,42,1,0.21205774690852477,0.49467104571466425,0.12370505789152955,0.7812309567336989,903.3455200195312,18
efficientnet_b0,20,43,1,0.21139556652892713,0.5041514799420275,0.11761121267519806,0.7940280316879951,897.5634765625,9
efficientnet_b0,20,44,1,0.21423932450729882,0.49833227168677313,0.125533211456429,0.7739183424741012,901.7218017578125,13
efficientnet_b0,20,45,1,0.21327739494756537,0.5106604380815263,0.11761121267519806,0.7897623400365631,902.111572265625,15
efficientnet_b0,20,46,1,0.2014599637906968,0.503009373524302,0.1194393662400975,0.7879341864716636,902.49755859375,20
efficientnet_b0,20,47,1,0.21234844689669416,0.48972787870262735,0.1218769043266301,0.7696526508226691,904.1663818359375,15
efficientnet_b0,20,48,1,0.21382419850768167,0.48377295377061386,0.125533211456429,0.7775746496039001,900.1343383789062,20
efficientnet_b0,20,49,1,0.2130866854039548,0.4834481715366439,0.11517367458866545,0.7702620353443023,904.10546875,14
efficientnet_b0,20,50,1,0.2190031959815489,0.49288781210289234,0.12492382693479585,0.7708714198659354,904.67529296875,16
efficientnet_b0,20,51,1,0.2106293011227181,0.5153338930756567,0.1267519804996953,0.7873248019500305,898.79296875,22
efficientnet_b0,50,42,1,0.32264837620632714,0.45829424017681,0.17915904936014626,0.8013406459475929,802.1639404296875,13
efficientnet_b0,50,43,1,0.3319533259654999,0.4580873298086963,0.18281535648994515,0.8043875685557587,793.6978759765625,24
efficientnet_b0,50,44,1,0.33191718740558024,0.4573602160698106,0.18708104814137722,0.7964655697745278,797.6497192382812,11
efficientnet_b0,50,45,1,0.33128873296771233,0.4625536586717614,0.182205971968312,0.8098720292504571,798.9351806640625,19
efficientnet_b0,50,46,1,0.31809386300188236,0.4530699381122412,0.17550274223034734,0.8037781840341255,800.623046875,12
efficientnet_b0,50,47,1,0.3246483810334028,0.459686046124615,0.1846435100548446,0.8001218769043267,803.2800903320312,14
efficientnet_b0,50,48,1,0.322493442112827,0.4521208863303697,0.1809872029250457,0.8062157221206582,800.9159545898438,17
efficientnet_b0,50,49,1,0.32578967864811065,0.4511084313392809,0.18037781840341255,0.7928092626447288,800.6343994140625,12
efficientnet_b0,50,50,1,0.33180441764019436,0.4493185044994478,0.18647166361974407,0.7842778793418648,794.4920043945312,15
efficientnet_b0,50,51,1,0.329837598406757,0.45818860037577164,0.18281535648994515,0.7989031078610603,796.1500244140625,13
